id,log_report_type,volume
1747,log_report_type_80,2
1349,log_report_type_201,1
1349,log_report_type_80,3
11444,log_report_type_80,6
11444,log_report_type_201,12
16517,log_report_type_80,16
16517,log_report_type_201,21
16202,log_report_type_80,1
16202,log_report_type_201,1
12511,log_report_type_201,2
12511,log_report_type_80,1
15171,log_report_type_201,3
15171,log_report_type_80,4
3879,log_report_type_63,4
3879,log_report_type_183,4
1863,log_report_type_80,5
5142,log_report_type_80,6
5142,log_report_type_201,6
6796,log_report_type_80,6
13838,log_report_type_80,6
13838,log_report_type_201,3
10913,log_report_type_80,2
10913,log_report_type_201,2
6880,log_report_type_201,27
6880,log_report_type_111,2
6880,log_report_type_80,47
685,log_report_type_111,3
685,log_report_type_80,37
685,log_report_type_201,52
10680,log_report_type_2,1
10680,log_report_type_80,5
10680,log_report_type_137,1
10680,log_report_type_201,10
13845,log_report_type_82,2
17736,log_report_type_203,2
17736,log_report_type_82,2
10319,log_report_type_80,1
10319,log_report_type_201,2
10970,log_report_type_201,1
10970,log_report_type_80,1
13652,log_report_type_80,3
10161,log_report_type_80,1
725,log_report_type_80,9
725,log_report_type_201,3
5074,log_report_type_80,4
5924,log_report_type_80,2
10516,log_report_type_183,1
6883,log_report_type_201,1
6883,log_report_type_80,3
5545,log_report_type_201,2
5545,log_report_type_80,7
14433,log_report_type_82,51
14433,log_report_type_203,7
18058,log_report_type_172,1
18058,log_report_type_82,24
18058,log_report_type_203,15
18058,log_report_type_56,1
5834,log_report_type_80,2
5834,log_report_type_201,1
4630,log_report_type_384,2
4630,log_report_type_203,2
4630,log_report_type_71,4
4630,log_report_type_82,4
4630,log_report_type_193,3
4630,log_report_type_299,2
17414,log_report_type_80,1
17414,log_report_type_203,6
17414,log_report_type_82,21
6244,log_report_type_203,1
6244,log_report_type_80,9
6244,log_report_type_201,2
6244,log_report_type_82,16
3158,log_report_type_82,23
3158,log_report_type_203,10
16320,log_report_type_203,6
16320,log_report_type_82,12
3465,log_report_type_82,36
3465,log_report_type_203,28
13490,log_report_type_82,8
13490,log_report_type_203,6
4628,log_report_type_71,3
4628,log_report_type_193,3
4628,log_report_type_203,6
4628,log_report_type_82,6
4029,log_report_type_203,9
4029,log_report_type_82,15
4029,log_report_type_80,1
15057,log_report_type_82,40
15057,log_report_type_203,4
13522,log_report_type_203,4
13522,log_report_type_82,10
5254,log_report_type_82,4
5254,log_report_type_201,4
5254,log_report_type_203,4
5254,log_report_type_80,3
14991,log_report_type_80,12
14991,log_report_type_82,18
14991,log_report_type_203,4
14991,log_report_type_201,4
2810,log_report_type_82,8
2810,log_report_type_203,2
5025,log_report_type_82,8
5025,log_report_type_203,4
5025,log_report_type_193,1
5025,log_report_type_71,1
14112,log_report_type_71,3
14112,log_report_type_203,4
14112,log_report_type_193,2
14112,log_report_type_82,10
5352,log_report_type_82,8
5352,log_report_type_203,9
7049,log_report_type_80,4
7049,log_report_type_82,14
7049,log_report_type_201,3
7049,log_report_type_203,10
17758,log_report_type_384,1
17758,log_report_type_299,1
17758,log_report_type_82,2
11766,log_report_type_203,23
11766,log_report_type_201,5
11766,log_report_type_82,26
11766,log_report_type_80,4
1574,log_report_type_203,3
1574,log_report_type_201,2
1574,log_report_type_80,2
1574,log_report_type_82,10
7237,log_report_type_82,10
7237,log_report_type_203,8
10902,log_report_type_82,8
10902,log_report_type_203,6
9016,log_report_type_203,18
9016,log_report_type_82,20
13955,log_report_type_80,6
13955,log_report_type_203,23
13955,log_report_type_82,55
13955,log_report_type_201,5
11005,log_report_type_201,2
11005,log_report_type_80,1
11005,log_report_type_82,26
11005,log_report_type_203,7
16584,log_report_type_203,20
16584,log_report_type_80,2
16584,log_report_type_82,52
16584,log_report_type_201,2
8277,log_report_type_82,22
8277,log_report_type_203,14
15081,log_report_type_82,16
15081,log_report_type_203,13
15081,log_report_type_80,3
15081,log_report_type_201,5
18220,log_report_type_203,19
18220,log_report_type_80,2
18220,log_report_type_201,2
18220,log_report_type_82,27
4595,log_report_type_203,3
4595,log_report_type_82,4
1666,log_report_type_82,1
7585,log_report_type_203,1
7585,log_report_type_82,6
4309,log_report_type_71,1
16809,log_report_type_82,12
16809,log_report_type_203,3
2385,log_report_type_203,4
2385,log_report_type_82,2
16139,log_report_type_82,18
16139,log_report_type_203,10
7077,log_report_type_203,4
7077,log_report_type_82,10
7077,log_report_type_80,3
11828,log_report_type_82,27
11828,log_report_type_203,5
2774,log_report_type_203,3
2774,log_report_type_82,5
11037,log_report_type_80,2
11037,log_report_type_201,2
11037,log_report_type_82,4
11037,log_report_type_203,4
11464,log_report_type_82,6
11464,log_report_type_201,2
11464,log_report_type_80,2
11464,log_report_type_203,4
15801,log_report_type_82,24
15801,log_report_type_203,16
15801,log_report_type_80,3
12847,log_report_type_82,11
12847,log_report_type_203,7
4002,log_report_type_80,11
4002,log_report_type_201,12
4002,log_report_type_82,17
4002,log_report_type_203,11
11100,log_report_type_82,15
11100,log_report_type_203,7
10511,log_report_type_203,29
10511,log_report_type_82,66
14706,log_report_type_219,1
14706,log_report_type_203,6
14706,log_report_type_134,1
14706,log_report_type_82,6
462,log_report_type_71,1
462,log_report_type_80,5
462,log_report_type_193,1
462,log_report_type_82,13
462,log_report_type_203,8
462,log_report_type_201,4
7885,log_report_type_299,3
7885,log_report_type_71,9
7885,log_report_type_82,6
7885,log_report_type_203,2
7885,log_report_type_193,15
7885,log_report_type_384,4
12276,log_report_type_80,2
12276,log_report_type_201,2
12276,log_report_type_82,8
12276,log_report_type_203,5
12276,log_report_type_71,1
10402,log_report_type_203,32
10402,log_report_type_82,66
10402,log_report_type_80,13
10402,log_report_type_201,11
3412,log_report_type_203,10
3412,log_report_type_82,16
6860,log_report_type_203,2
6860,log_report_type_82,4
11114,log_report_type_203,2
11114,log_report_type_82,2
9907,log_report_type_80,1
9907,log_report_type_201,1
9907,log_report_type_82,2
4121,log_report_type_201,1
4121,log_report_type_82,18
4121,log_report_type_80,2
4121,log_report_type_203,6
10493,log_report_type_80,21
10493,log_report_type_82,6
10493,log_report_type_201,21
10493,log_report_type_203,3
11770,log_report_type_82,25
11770,log_report_type_203,5
11770,log_report_type_80,5
11770,log_report_type_201,5
965,log_report_type_80,13
965,log_report_type_201,16
965,log_report_type_203,13
965,log_report_type_82,14
18004,log_report_type_82,4
5928,log_report_type_203,4
5928,log_report_type_201,3
5928,log_report_type_82,6
5928,log_report_type_80,4
7405,log_report_type_193,1
7405,log_report_type_82,33
7405,log_report_type_385,1
7405,log_report_type_201,2
7405,log_report_type_80,4
7405,log_report_type_203,9
6803,log_report_type_82,6
6803,log_report_type_80,1
8764,log_report_type_203,5
8764,log_report_type_82,16
7925,log_report_type_82,63
7925,log_report_type_203,3
7925,log_report_type_201,1
7925,log_report_type_80,3
12798,log_report_type_82,18
11394,log_report_type_68,2
11394,log_report_type_80,1
11394,log_report_type_82,36
11394,log_report_type_203,16
17869,log_report_type_82,10
17869,log_report_type_203,3
10129,log_report_type_82,2
10129,log_report_type_80,1
13354,log_report_type_203,14
13354,log_report_type_82,32
16917,log_report_type_80,1
16917,log_report_type_82,1
17425,log_report_type_201,7
17425,log_report_type_80,10
17425,log_report_type_203,10
17425,log_report_type_82,48
18486,log_report_type_80,8
18486,log_report_type_82,8
18486,log_report_type_201,2
18486,log_report_type_203,2
6909,log_report_type_203,18
6909,log_report_type_82,22
12026,log_report_type_80,2
12026,log_report_type_82,2
16064,log_report_type_82,8
16064,log_report_type_203,4
11119,log_report_type_82,12
11119,log_report_type_203,4
8378,log_report_type_82,11
8378,log_report_type_80,7
8378,log_report_type_201,6
894,log_report_type_82,1
894,log_report_type_80,6
6648,log_report_type_80,3
372,log_report_type_201,1
372,log_report_type_82,2
372,log_report_type_80,2
17066,log_report_type_82,33
821,log_report_type_80,1
821,log_report_type_82,33
821,log_report_type_203,1
608,log_report_type_82,13
608,log_report_type_203,2
608,log_report_type_80,1
4535,log_report_type_82,21
4535,log_report_type_80,2
4640,log_report_type_201,1
4640,log_report_type_82,10
4640,log_report_type_203,4
4640,log_report_type_80,3
18296,log_report_type_80,2
18296,log_report_type_82,6
6904,log_report_type_82,4
6904,log_report_type_80,1
5059,log_report_type_80,1
5059,log_report_type_201,1
15102,log_report_type_82,15
15102,log_report_type_203,7
15102,log_report_type_80,3
11286,log_report_type_82,7
13438,log_report_type_201,1
13438,log_report_type_80,1
13438,log_report_type_82,6
7851,log_report_type_82,56
7851,log_report_type_80,16
7851,log_report_type_203,5
7851,log_report_type_201,3
16336,log_report_type_82,3
17470,log_report_type_82,4
17470,log_report_type_80,1
17470,log_report_type_203,2
8388,log_report_type_80,2
8388,log_report_type_203,4
8388,log_report_type_82,12
8388,log_report_type_201,2
4141,log_report_type_203,1
4141,log_report_type_82,14
4163,log_report_type_80,4
4163,log_report_type_82,8
13077,log_report_type_82,4
13077,log_report_type_80,4
15343,log_report_type_71,3
15343,log_report_type_203,15
15343,log_report_type_80,1
15343,log_report_type_193,3
15343,log_report_type_82,38
6475,log_report_type_203,28
6475,log_report_type_71,3
6475,log_report_type_193,2
6475,log_report_type_82,40
12214,log_report_type_82,12
12214,log_report_type_80,1
12214,log_report_type_203,4
6623,log_report_type_203,2
6623,log_report_type_82,32
6623,log_report_type_80,2
1551,log_report_type_203,1
1551,log_report_type_80,5
1551,log_report_type_82,21
13260,log_report_type_82,30
13260,log_report_type_203,19
12932,log_report_type_80,2
12932,log_report_type_82,4
4556,log_report_type_82,46
8556,log_report_type_80,1
8556,log_report_type_82,24
8556,log_report_type_203,4
14449,log_report_type_80,3
14449,log_report_type_82,5
14449,log_report_type_201,1
14449,log_report_type_203,3
18376,log_report_type_203,3
18376,log_report_type_82,50
18376,log_report_type_80,1
17745,log_report_type_80,1
17963,log_report_type_82,6
17963,log_report_type_300,1
17963,log_report_type_80,2
17963,log_report_type_386,1
17963,log_report_type_203,2
10014,log_report_type_82,26
10014,log_report_type_201,1
10014,log_report_type_80,5
9879,log_report_type_80,1
9879,log_report_type_82,9
9879,log_report_type_203,3
1718,log_report_type_80,1
1718,log_report_type_203,2
1718,log_report_type_82,11
13376,log_report_type_80,26
13376,log_report_type_201,7
13376,log_report_type_82,2
17645,log_report_type_80,3
17645,log_report_type_201,1
2214,log_report_type_80,1
2214,log_report_type_203,2
2214,log_report_type_82,10
12194,log_report_type_203,2
12194,log_report_type_82,4
12194,log_report_type_80,5
12607,log_report_type_82,12
12607,log_report_type_80,2
12607,log_report_type_203,2
378,log_report_type_82,10
378,log_report_type_203,2
378,log_report_type_201,1
378,log_report_type_80,2
14616,log_report_type_82,7
14616,log_report_type_80,2
14616,log_report_type_203,4
1326,log_report_type_203,8
1326,log_report_type_201,3
1326,log_report_type_82,10
1326,log_report_type_80,3
15085,log_report_type_82,25
15085,log_report_type_203,21
6339,log_report_type_82,36
6339,log_report_type_203,14
4151,log_report_type_82,2
17950,log_report_type_203,8
17950,log_report_type_82,12
17950,log_report_type_201,1
17950,log_report_type_80,2
15427,log_report_type_80,2
200,log_report_type_203,4
200,log_report_type_80,5
200,log_report_type_82,9
18050,log_report_type_80,2
18050,log_report_type_201,1
18050,log_report_type_82,10
3547,log_report_type_201,1
3547,log_report_type_80,2
3547,log_report_type_82,6
3547,log_report_type_203,2
15192,log_report_type_80,5
15192,log_report_type_82,10
13832,log_report_type_80,1
13832,log_report_type_82,12
13832,log_report_type_203,1
2467,log_report_type_201,2
2467,log_report_type_82,34
2467,log_report_type_203,20
2467,log_report_type_80,5
6369,log_report_type_80,2
6369,log_report_type_82,8
6369,log_report_type_203,3
6369,log_report_type_201,1
12887,log_report_type_82,10
12887,log_report_type_201,1
12887,log_report_type_203,4
12887,log_report_type_80,7
8366,log_report_type_80,6
8366,log_report_type_201,5
8366,log_report_type_82,8
8366,log_report_type_203,6
2425,log_report_type_82,2
2425,log_report_type_201,2
2425,log_report_type_183,1
2425,log_report_type_63,1
2425,log_report_type_80,7
8106,log_report_type_82,48
8106,log_report_type_80,4
8106,log_report_type_203,25
8106,log_report_type_201,5
12935,log_report_type_80,3
12935,log_report_type_201,2
12935,log_report_type_82,71
4623,log_report_type_80,4
4623,log_report_type_203,1
4623,log_report_type_201,1
4623,log_report_type_82,21
222,log_report_type_203,2
222,log_report_type_201,1
222,log_report_type_82,4
222,log_report_type_80,3
9059,log_report_type_80,6
15381,log_report_type_203,29
15381,log_report_type_80,4
15381,log_report_type_82,60
13154,log_report_type_80,10
13154,log_report_type_82,48
13154,log_report_type_201,4
665,log_report_type_82,6
665,log_report_type_201,2
665,log_report_type_203,1
665,log_report_type_80,7
10110,log_report_type_201,1
10110,log_report_type_203,34
10110,log_report_type_80,5
10110,log_report_type_82,43
1716,log_report_type_203,3
1716,log_report_type_82,35
1716,log_report_type_80,6
1716,log_report_type_201,1
3951,log_report_type_201,1
3951,log_report_type_80,2
3951,log_report_type_203,1
3951,log_report_type_82,2
17731,log_report_type_80,2
17731,log_report_type_203,7
17731,log_report_type_82,15
16403,log_report_type_82,10
16403,log_report_type_203,6
16403,log_report_type_80,4
8501,log_report_type_82,19
8501,log_report_type_80,5
8501,log_report_type_203,2
15362,log_report_type_82,27
15362,log_report_type_203,4
15362,log_report_type_80,3
9870,log_report_type_201,1
9870,log_report_type_82,6
9870,log_report_type_80,6
9870,log_report_type_203,1
8831,log_report_type_82,57
8831,log_report_type_80,3
5961,log_report_type_80,8
5961,log_report_type_203,6
5961,log_report_type_82,56
9364,log_report_type_82,2
9364,log_report_type_80,2
9364,log_report_type_203,1
18490,log_report_type_82,14
18490,log_report_type_80,3
9088,log_report_type_203,2
9088,log_report_type_201,11
9088,log_report_type_80,58
9088,log_report_type_82,13
2865,log_report_type_73,1
2865,log_report_type_195,2
16514,log_report_type_133,1
18077,log_report_type_132,1
18077,log_report_type_217,1
14,log_report_type_218,2
14,log_report_type_133,2
13453,log_report_type_73,1
12828,log_report_type_195,1
6359,log_report_type_232,1
6359,log_report_type_227,1
6359,log_report_type_312,1
6359,log_report_type_307,1
5881,log_report_type_312,1
5881,log_report_type_232,1
13337,log_report_type_228,2
13337,log_report_type_312,1
13337,log_report_type_308,2
13337,log_report_type_232,1
13337,log_report_type_310,2
13337,log_report_type_230,2
14986,log_report_type_73,10
14986,log_report_type_195,7
12978,log_report_type_73,9
12978,log_report_type_195,6
1553,log_report_type_73,13
1553,log_report_type_109,6
1553,log_report_type_195,8
487,log_report_type_73,35
487,log_report_type_195,29
487,log_report_type_109,3
5559,log_report_type_73,24
5559,log_report_type_195,25
8037,log_report_type_195,3
8037,log_report_type_73,7
5027,log_report_type_109,1
5027,log_report_type_73,19
5027,log_report_type_195,14
15133,log_report_type_195,1
15133,log_report_type_73,3
5068,log_report_type_195,2
5068,log_report_type_73,1
5068,log_report_type_68,1
11826,log_report_type_195,2
11826,log_report_type_73,2
7409,log_report_type_195,3
7409,log_report_type_73,3
13614,log_report_type_42,2
13614,log_report_type_73,1
13614,log_report_type_195,1
13614,log_report_type_157,2
11313,log_report_type_195,1
11313,log_report_type_73,1
8573,log_report_type_195,1
8573,log_report_type_73,2
15618,log_report_type_73,5
15618,log_report_type_195,4
8730,log_report_type_134,1
8730,log_report_type_219,1
2841,log_report_type_195,14
2841,log_report_type_73,11
8263,log_report_type_73,13
8263,log_report_type_195,8
8193,log_report_type_195,5
8193,log_report_type_73,4
5821,log_report_type_195,10
5821,log_report_type_73,9
14864,log_report_type_219,1
14864,log_report_type_195,4
14864,log_report_type_73,2
14864,log_report_type_134,1
7818,log_report_type_73,1
7818,log_report_type_195,2
6636,log_report_type_42,1
6636,log_report_type_73,1
3113,log_report_type_73,1
3113,log_report_type_195,1
15555,log_report_type_195,3
15555,log_report_type_73,8
15974,log_report_type_157,1
13273,log_report_type_195,2
13273,log_report_type_73,4
10465,log_report_type_73,1
1491,log_report_type_42,1
1491,log_report_type_157,1
7546,log_report_type_195,5
7546,log_report_type_73,5
8854,log_report_type_73,2
14462,log_report_type_42,2
14462,log_report_type_73,2
2734,log_report_type_73,5
2734,log_report_type_195,2
6446,log_report_type_195,2
6446,log_report_type_73,6
11239,log_report_type_157,1
11239,log_report_type_195,6
6193,log_report_type_73,1
3765,log_report_type_73,5
12944,log_report_type_195,1
12944,log_report_type_73,4
4302,log_report_type_73,7
16468,log_report_type_73,2
16468,log_report_type_195,1
12624,log_report_type_73,2
17530,log_report_type_195,3
17530,log_report_type_73,6
7503,log_report_type_157,5
7503,log_report_type_73,2
7503,log_report_type_42,5
6457,log_report_type_195,1
6457,log_report_type_73,1
6457,log_report_type_42,1
6457,log_report_type_157,1
16725,log_report_type_42,3
16725,log_report_type_157,3
5029,log_report_type_134,1
5029,log_report_type_219,1
16681,log_report_type_196,2
16681,log_report_type_74,1
11843,log_report_type_196,2
11843,log_report_type_133,1
11843,log_report_type_219,1
11843,log_report_type_74,2
11843,log_report_type_132,1
11843,log_report_type_134,1
6231,log_report_type_74,9
6231,log_report_type_196,9
15803,log_report_type_196,6
15803,log_report_type_132,1
15803,log_report_type_74,6
