id,assembly_line_type
12214,assembly_line_type_8
6623,assembly_line_type_8
1551,assembly_line_type_8
13260,assembly_line_type_8
12932,assembly_line_type_8
4556,assembly_line_type_8
8556,assembly_line_type_8
14449,assembly_line_type_8
18376,assembly_line_type_8
17745,assembly_line_type_8
17963,assembly_line_type_8
10014,assembly_line_type_8
9879,assembly_line_type_8
1718,assembly_line_type_8
13376,assembly_line_type_8
17645,assembly_line_type_8
2214,assembly_line_type_8
12194,assembly_line_type_8
12607,assembly_line_type_8
378,assembly_line_type_8
14616,assembly_line_type_8
1326,assembly_line_type_8
15085,assembly_line_type_8
6339,assembly_line_type_8
4151,assembly_line_type_8
17950,assembly_line_type_8
15427,assembly_line_type_8
200,assembly_line_type_8
18050,assembly_line_type_8
3547,assembly_line_type_8
15192,assembly_line_type_8
13832,assembly_line_type_8
2467,assembly_line_type_8
6369,assembly_line_type_8
12887,assembly_line_type_8
8366,assembly_line_type_8
2425,assembly_line_type_8
8106,assembly_line_type_8
12935,assembly_line_type_8
4623,assembly_line_type_8
222,assembly_line_type_8
9059,assembly_line_type_8
15381,assembly_line_type_8
13154,assembly_line_type_8
665,assembly_line_type_8
10110,assembly_line_type_8
1716,assembly_line_type_8
3951,assembly_line_type_8
17731,assembly_line_type_8
16403,assembly_line_type_8
8501,assembly_line_type_8
15362,assembly_line_type_8
9870,assembly_line_type_8
8831,assembly_line_type_8
5961,assembly_line_type_8
9364,assembly_line_type_8
18490,assembly_line_type_8
9088,assembly_line_type_8
2865,assembly_line_type_8
16514,assembly_line_type_9
18077,assembly_line_type_9
14,assembly_line_type_9
13453,assembly_line_type_8
12828,assembly_line_type_8
6359,assembly_line_type_2
5881,assembly_line_type_2
13337,assembly_line_type_2
14986,assembly_line_type_8
12978,assembly_line_type_8
1553,assembly_line_type_8
487,assembly_line_type_8
5559,assembly_line_type_8
8037,assembly_line_type_8
5027,assembly_line_type_8
15133,assembly_line_type_8
5068,assembly_line_type_8
11826,assembly_line_type_8
7409,assembly_line_type_8
13614,assembly_line_type_8
11313,assembly_line_type_8
8573,assembly_line_type_8
15618,assembly_line_type_8
8730,assembly_line_type_2
2841,assembly_line_type_8
8263,assembly_line_type_8
8193,assembly_line_type_8
5821,assembly_line_type_8
14864,assembly_line_type_2
14864,assembly_line_type_8
7818,assembly_line_type_8
6636,assembly_line_type_8
3113,assembly_line_type_8
15555,assembly_line_type_8
15974,assembly_line_type_8
13273,assembly_line_type_8
10465,assembly_line_type_8
1491,assembly_line_type_8
7546,assembly_line_type_8
8854,assembly_line_type_8
14462,assembly_line_type_8
2734,assembly_line_type_8
6446,assembly_line_type_8
11239,assembly_line_type_8
6193,assembly_line_type_8
3765,assembly_line_type_8
12944,assembly_line_type_8
4302,assembly_line_type_8
16468,assembly_line_type_8
12624,assembly_line_type_8
17530,assembly_line_type_8
7503,assembly_line_type_8
6457,assembly_line_type_8
16725,assembly_line_type_8
5029,assembly_line_type_2
16681,assembly_line_type_8
11843,assembly_line_type_9
11843,assembly_line_type_8
11843,assembly_line_type_2
6231,assembly_line_type_8
15803,assembly_line_type_9
15803,assembly_line_type_8
13480,assembly_line_type_8
11928,assembly_line_type_8
8963,assembly_line_type_8
10844,assembly_line_type_8
13067,assembly_line_type_8
9769,assembly_line_type_8
15970,assembly_line_type_8
6715,assembly_line_type_8
5206,assembly_line_type_9
16675,assembly_line_type_8
5468,assembly_line_type_9
2854,assembly_line_type_9
8225,assembly_line_type_8
15497,assembly_line_type_8
10940,assembly_line_type_2
8120,assembly_line_type_8
15689,assembly_line_type_1
15689,assembly_line_type_8
5597,assembly_line_type_8
4315,assembly_line_type_8
11976,assembly_line_type_2
11976,assembly_line_type_8
268,assembly_line_type_8
11609,assembly_line_type_8
15967,assembly_line_type_6
15967,assembly_line_type_8
2184,assembly_line_type_6
2184,assembly_line_type_8
2184,assembly_line_type_7
17071,assembly_line_type_7
13185,assembly_line_type_8
13185,assembly_line_type_10
17329,assembly_line_type_8
17329,assembly_line_type_10
9509,assembly_line_type_8
9509,assembly_line_type_6
587,assembly_line_type_6
587,assembly_line_type_8
14586,assembly_line_type_6
14586,assembly_line_type_8
3967,assembly_line_type_6
3967,assembly_line_type_8
4941,assembly_line_type_4
4941,assembly_line_type_8
16781,assembly_line_type_6
16781,assembly_line_type_8
15684,assembly_line_type_2
525,assembly_line_type_8
525,assembly_line_type_6
17856,assembly_line_type_8
17856,assembly_line_type_6
6932,assembly_line_type_8
6932,assembly_line_type_6
9787,assembly_line_type_8
9787,assembly_line_type_4
9787,assembly_line_type_6
4740,assembly_line_type_6
4053,assembly_line_type_8
6376,assembly_line_type_6
6376,assembly_line_type_8
13330,assembly_line_type_8
13330,assembly_line_type_6
8036,assembly_line_type_6
3895,assembly_line_type_8
333,assembly_line_type_8
333,assembly_line_type_6
16024,assembly_line_type_4
16024,assembly_line_type_8
10696,assembly_line_type_4
10696,assembly_line_type_8
17505,assembly_line_type_8
17505,assembly_line_type_6
4045,assembly_line_type_6
4045,assembly_line_type_8
18399,assembly_line_type_8
18399,assembly_line_type_6
11874,assembly_line_type_6
11874,assembly_line_type_8
17062,assembly_line_type_6
17062,assembly_line_type_8
8042,assembly_line_type_8
11725,assembly_line_type_8
750,assembly_line_type_8
7315,assembly_line_type_8
16339,assembly_line_type_8
2212,assembly_line_type_8
7545,assembly_line_type_8
14767,assembly_line_type_8
5282,assembly_line_type_8
12389,assembly_line_type_8
1380,assembly_line_type_8
10409,assembly_line_type_2
10658,assembly_line_type_8
6144,assembly_line_type_8
10370,assembly_line_type_8
17852,assembly_line_type_8
5032,assembly_line_type_8
5370,assembly_line_type_8
12273,assembly_line_type_8
1998,assembly_line_type_8
17379,assembly_line_type_8
252,assembly_line_type_8
14875,assembly_line_type_8
6834,assembly_line_type_8
9158,assembly_line_type_8
8694,assembly_line_type_8
7348,assembly_line_type_8
12661,assembly_line_type_8
7171,assembly_line_type_8
4733,assembly_line_type_8
1931,assembly_line_type_8
14047,assembly_line_type_8
611,assembly_line_type_8
9354,assembly_line_type_8
15287,assembly_line_type_8
13403,assembly_line_type_8
982,assembly_line_type_8
8581,assembly_line_type_8
7504,assembly_line_type_8
17653,assembly_line_type_8
2741,assembly_line_type_8
10977,assembly_line_type_2
8359,assembly_line_type_8
7385,assembly_line_type_8
8467,assembly_line_type_8
11740,assembly_line_type_8
9778,assembly_line_type_8
15626,assembly_line_type_8
3949,assembly_line_type_8
3663,assembly_line_type_8
17209,assembly_line_type_8
400,assembly_line_type_8
4861,assembly_line_type_8
805,assembly_line_type_8
11989,assembly_line_type_8
748,assembly_line_type_8
10508,assembly_line_type_8
5977,assembly_line_type_8
2090,assembly_line_type_8
5257,assembly_line_type_8
8159,assembly_line_type_8
1135,assembly_line_type_8
6679,assembly_line_type_8
6313,assembly_line_type_8
1231,assembly_line_type_8
1706,assembly_line_type_8
16741,assembly_line_type_8
4629,assembly_line_type_8
3491,assembly_line_type_8
9852,assembly_line_type_8
10293,assembly_line_type_8
9596,assembly_line_type_8
5300,assembly_line_type_8
15871,assembly_line_type_8
1566,assembly_line_type_8
4254,assembly_line_type_8
2652,assembly_line_type_8
484,assembly_line_type_8
1588,assembly_line_type_8
10561,assembly_line_type_8
7174,assembly_line_type_8
12209,assembly_line_type_8
17627,assembly_line_type_8
3701,assembly_line_type_2
15517,assembly_line_type_8
16136,assembly_line_type_8
9720,assembly_line_type_8
5184,assembly_line_type_8
11581,assembly_line_type_8
6327,assembly_line_type_8
16645,assembly_line_type_8
1704,assembly_line_type_8
4279,assembly_line_type_8
12527,assembly_line_type_8
47,assembly_line_type_8
5617,assembly_line_type_8
8530,assembly_line_type_8
11653,assembly_line_type_8
13920,assembly_line_type_8
3191,assembly_line_type_8
6439,assembly_line_type_8
15350,assembly_line_type_8
5512,assembly_line_type_8
16346,assembly_line_type_8
12308,assembly_line_type_8
14668,assembly_line_type_8
16441,assembly_line_type_8
16562,assembly_line_type_8
9919,assembly_line_type_8
12731,assembly_line_type_8
17525,assembly_line_type_8
2829,assembly_line_type_8
13065,assembly_line_type_8
13888,assembly_line_type_8
2067,assembly_line_type_8
17949,assembly_line_type_8
886,assembly_line_type_8
18120,assembly_line_type_8
17434,assembly_line_type_8
4884,assembly_line_type_8
7017,assembly_line_type_8
18407,assembly_line_type_8
17867,assembly_line_type_8
17134,assembly_line_type_8
14131,assembly_line_type_8
6517,assembly_line_type_8
10666,assembly_line_type_8
14592,assembly_line_type_8
8759,assembly_line_type_8
7878,assembly_line_type_8
13792,assembly_line_type_2
13792,assembly_line_type_8
17833,assembly_line_type_8
14360,assembly_line_type_8
4591,assembly_line_type_8
16142,assembly_line_type_8
628,assembly_line_type_8
893,assembly_line_type_8
11341,assembly_line_type_8
6581,assembly_line_type_8
13606,assembly_line_type_8
10407,assembly_line_type_8
17931,assembly_line_type_8
6564,assembly_line_type_8
9848,assembly_line_type_8
9598,assembly_line_type_8
12282,assembly_line_type_8
15099,assembly_line_type_8
11207,assembly_line_type_8
6160,assembly_line_type_8
12569,assembly_line_type_8
10492,assembly_line_type_8
1126,assembly_line_type_8
3684,assembly_line_type_8
11968,assembly_line_type_8
9372,assembly_line_type_8
1477,assembly_line_type_8
14661,assembly_line_type_8
14997,assembly_line_type_8
2322,assembly_line_type_8
7354,assembly_line_type_8
11981,assembly_line_type_8
7279,assembly_line_type_8
386,assembly_line_type_8
7835,assembly_line_type_8
12590,assembly_line_type_8
4092,assembly_line_type_8
14100,assembly_line_type_8
9722,assembly_line_type_8
12495,assembly_line_type_8
12227,assembly_line_type_8
5693,assembly_line_type_8
13688,assembly_line_type_8
17825,assembly_line_type_8
11878,assembly_line_type_8
13552,assembly_line_type_8
10520,assembly_line_type_8
10137,assembly_line_type_8
855,assembly_line_type_8
17557,assembly_line_type_8
3667,assembly_line_type_8
11352,assembly_line_type_2
11352,assembly_line_type_8
13408,assembly_line_type_8
5178,assembly_line_type_8
7372,assembly_line_type_8
7372,assembly_line_type_1
5784,assembly_line_type_1
5784,assembly_line_type_8
4047,assembly_line_type_8
11367,assembly_line_type_8
17801,assembly_line_type_8
460,assembly_line_type_8
12790,assembly_line_type_8
2999,assembly_line_type_8
5476,assembly_line_type_8
17540,assembly_line_type_8
8880,assembly_line_type_8
13391,assembly_line_type_8
12112,assembly_line_type_8
10676,assembly_line_type_8
11133,assembly_line_type_8
1508,assembly_line_type_8
375,assembly_line_type_8
12473,assembly_line_type_8
3692,assembly_line_type_8
14557,assembly_line_type_8
17724,assembly_line_type_8
8673,assembly_line_type_8
18253,assembly_line_type_8
595,assembly_line_type_8
6565,assembly_line_type_8
17749,assembly_line_type_8
10783,assembly_line_type_8
2216,assembly_line_type_8
15716,assembly_line_type_8
18116,assembly_line_type_8
10572,assembly_line_type_8
8234,assembly_line_type_8
11189,assembly_line_type_8
11895,assembly_line_type_8
4658,assembly_line_type_8
4674,assembly_line_type_8
2991,assembly_line_type_8
6747,assembly_line_type_8
3052,assembly_line_type_8
6990,assembly_line_type_8
5439,assembly_line_type_8
13612,assembly_line_type_8
8173,assembly_line_type_8
6902,assembly_line_type_8
18176,assembly_line_type_8
11790,assembly_line_type_8
15693,assembly_line_type_8
5320,assembly_line_type_8
3877,assembly_line_type_8
13361,assembly_line_type_8
15072,assembly_line_type_8
9280,assembly_line_type_8
3789,assembly_line_type_8
14664,assembly_line_type_8
14647,assembly_line_type_8
9980,assembly_line_type_8
1382,assembly_line_type_8
16456,assembly_line_type_8
13078,assembly_line_type_8
7360,assembly_line_type_8
1493,assembly_line_type_8
5731,assembly_line_type_8
10329,assembly_line_type_8
267,assembly_line_type_8
14087,assembly_line_type_8
13440,assembly_line_type_8
11758,assembly_line_type_8
14439,assembly_line_type_8
8355,assembly_line_type_8
11357,assembly_line_type_8
17017,assembly_line_type_8
5304,assembly_line_type_8
10803,assembly_line_type_8
17568,assembly_line_type_8
4620,assembly_line_type_8
12275,assembly_line_type_8
7146,assembly_line_type_8
11896,assembly_line_type_8
10403,assembly_line_type_8
45,assembly_line_type_8
9928,assembly_line_type_8
2091,assembly_line_type_8
12939,assembly_line_type_8
16012,assembly_line_type_8
1368,assembly_line_type_8
10790,assembly_line_type_8
9911,assembly_line_type_8
14907,assembly_line_type_8
6638,assembly_line_type_8
10857,assembly_line_type_8
4470,assembly_line_type_8
15434,assembly_line_type_8
7667,assembly_line_type_8
3327,assembly_line_type_8
12278,assembly_line_type_8
6267,assembly_line_type_8
17581,assembly_line_type_8
8269,assembly_line_type_8
7055,assembly_line_type_2
14032,assembly_line_type_2
13543,assembly_line_type_2
13341,assembly_line_type_2
17440,assembly_line_type_2
6379,assembly_line_type_2
7864,assembly_line_type_2
10047,assembly_line_type_2
6837,assembly_line_type_2
8007,assembly_line_type_2
6931,assembly_line_type_2
5846,assembly_line_type_2
11038,assembly_line_type_2
10687,assembly_line_type_2
7866,assembly_line_type_2
3881,assembly_line_type_2
12143,assembly_line_type_2
3066,assembly_line_type_2
6689,assembly_line_type_2
6387,assembly_line_type_2
11651,assembly_line_type_2
3864,assembly_line_type_2
9441,assembly_line_type_2
15640,assembly_line_type_2
13801,assembly_line_type_2
12836,assembly_line_type_2
10058,assembly_line_type_2
14839,assembly_line_type_2
1810,assembly_line_type_2
15538,assembly_line_type_2
4217,assembly_line_type_2
6838,assembly_line_type_2
8619,assembly_line_type_2
5714,assembly_line_type_2
7137,assembly_line_type_2
10001,assembly_line_type_2
5785,assembly_line_type_2
2162,assembly_line_type_2
17358,assembly_line_type_2
13837,assembly_line_type_2
17034,assembly_line_type_2
1933,assembly_line_type_2
12182,assembly_line_type_2
18421,assembly_line_type_2
12104,assembly_line_type_2
3431,assembly_line_type_2
2437,assembly_line_type_2
17751,assembly_line_type_2
3429,assembly_line_type_2
11150,assembly_line_type_2
7952,assembly_line_type_2
10593,assembly_line_type_2
516,assembly_line_type_2
17647,assembly_line_type_2
10956,assembly_line_type_2
2550,assembly_line_type_2
14153,assembly_line_type_2
5081,assembly_line_type_2
12379,assembly_line_type_2
1663,assembly_line_type_2
10627,assembly_line_type_2
2656,assembly_line_type_2
4317,assembly_line_type_2
15568,assembly_line_type_2
16021,assembly_line_type_2
15156,assembly_line_type_2
2763,assembly_line_type_2
10136,assembly_line_type_2
6212,assembly_line_type_2
12478,assembly_line_type_2
9898,assembly_line_type_2
9406,assembly_line_type_2
16763,assembly_line_type_2
8466,assembly_line_type_2
9727,assembly_line_type_2
6427,assembly_line_type_2
636,assembly_line_type_2
17830,assembly_line_type_2
5783,assembly_line_type_2
11301,assembly_line_type_2
1059,assembly_line_type_2
8316,assembly_line_type_2
13219,assembly_line_type_2
8750,assembly_line_type_2
15676,assembly_line_type_2
17019,assembly_line_type_2
13987,assembly_line_type_2
8062,assembly_line_type_2
4285,assembly_line_type_2
7944,assembly_line_type_2
10567,assembly_line_type_2
3336,assembly_line_type_2
5526,assembly_line_type_2
3279,assembly_line_type_2
4608,assembly_line_type_2
4184,assembly_line_type_2
11294,assembly_line_type_2
3201,assembly_line_type_2
14132,assembly_line_type_2
14345,assembly_line_type_2
8897,assembly_line_type_2
15400,assembly_line_type_2
15657,assembly_line_type_2
4103,assembly_line_type_2
13733,assembly_line_type_2
13346,assembly_line_type_2
2992,assembly_line_type_2
3064,assembly_line_type_2
12216,assembly_line_type_2
8804,assembly_line_type_8
13299,assembly_line_type_2
7297,assembly_line_type_8
7313,assembly_line_type_8
13382,assembly_line_type_8
13382,assembly_line_type_9
16525,assembly_line_type_8
2847,assembly_line_type_8
18408,assembly_line_type_8
3306,assembly_line_type_8
3306,assembly_line_type_9
8247,assembly_line_type_8
1621,assembly_line_type_8
14811,assembly_line_type_8
3916,assembly_line_type_8
10610,assembly_line_type_8
4741,assembly_line_type_9
13137,assembly_line_type_8
18388,assembly_line_type_8
15584,assembly_line_type_8
15183,assembly_line_type_8
13282,assembly_line_type_2
14297,assembly_line_type_8
14605,assembly_line_type_8
9891,assembly_line_type_8
1992,assembly_line_type_8
11345,assembly_line_type_8
11281,assembly_line_type_8
9421,assembly_line_type_8
4148,assembly_line_type_8
1924,assembly_line_type_8
4922,assembly_line_type_8
13823,assembly_line_type_8
11808,assembly_line_type_8
4418,assembly_line_type_8
5561,assembly_line_type_8
10477,assembly_line_type_8
11173,assembly_line_type_8
1413,assembly_line_type_2
15021,assembly_line_type_8
14464,assembly_line_type_8
5322,assembly_line_type_8
18131,assembly_line_type_8
4161,assembly_line_type_9
12690,assembly_line_type_9
13079,assembly_line_type_9
2185,assembly_line_type_8
2185,assembly_line_type_9
2048,assembly_line_type_9
11776,assembly_line_type_8
11776,assembly_line_type_1
777,assembly_line_type_9
777,assembly_line_type_8
5427,assembly_line_type_8
1803,assembly_line_type_8
753,assembly_line_type_8
9501,assembly_line_type_8
9127,assembly_line_type_8
9476,assembly_line_type_8
14445,assembly_line_type_8
1786,assembly_line_type_8
18249,assembly_line_type_8
12988,assembly_line_type_8
482,assembly_line_type_2
9789,assembly_line_type_8
3420,assembly_line_type_2
4544,assembly_line_type_8
9529,assembly_line_type_8
13473,assembly_line_type_8
12633,assembly_line_type_8
9781,assembly_line_type_8
9782,assembly_line_type_8
1918,assembly_line_type_8
16548,assembly_line_type_8
4557,assembly_line_type_8
4290,assembly_line_type_8
11061,assembly_line_type_8
16193,assembly_line_type_8
14460,assembly_line_type_8
12561,assembly_line_type_8
2869,assembly_line_type_8
8122,assembly_line_type_8
4084,assembly_line_type_8
15811,assembly_line_type_8
1637,assembly_line_type_8
350,assembly_line_type_8
15736,assembly_line_type_8
14261,assembly_line_type_8
16593,assembly_line_type_8
17605,assembly_line_type_8
14326,assembly_line_type_8
14679,assembly_line_type_8
14140,assembly_line_type_8
12233,assembly_line_type_8
12084,assembly_line_type_8
17502,assembly_line_type_8
14463,assembly_line_type_8
812,assembly_line_type_8
12487,assembly_line_type_8
16240,assembly_line_type_8
1598,assembly_line_type_8
17515,assembly_line_type_8
6823,assembly_line_type_8
16724,assembly_line_type_8
12811,assembly_line_type_8
9853,assembly_line_type_8
479,assembly_line_type_8
34,assembly_line_type_3
34,assembly_line_type_8
34,assembly_line_type_2
17416,assembly_line_type_8
17853,assembly_line_type_8
11459,assembly_line_type_8
11887,assembly_line_type_8
16818,assembly_line_type_8
5510,assembly_line_type_8
17033,assembly_line_type_8
7978,assembly_line_type_2
7853,assembly_line_type_8
17533,assembly_line_type_2
17533,assembly_line_type_8
3043,assembly_line_type_8
1677,assembly_line_type_2
810,assembly_line_type_2
14310,assembly_line_type_2
3308,assembly_line_type_8
7076,assembly_line_type_6
7076,assembly_line_type_8
3640,assembly_line_type_6
3640,assembly_line_type_8
15800,assembly_line_type_8
11130,assembly_line_type_8
11130,assembly_line_type_6
11687,assembly_line_type_8
15539,assembly_line_type_8
2580,assembly_line_type_7
8392,assembly_line_type_8
8616,assembly_line_type_8
2407,assembly_line_type_6
2407,assembly_line_type_8
17448,assembly_line_type_6
17448,assembly_line_type_8
4249,assembly_line_type_8
4249,assembly_line_type_6
1294,assembly_line_type_6
1294,assembly_line_type_8
6818,assembly_line_type_6
6818,assembly_line_type_8
5681,assembly_line_type_8
5681,assembly_line_type_4
10981,assembly_line_type_2
11271,assembly_line_type_6
11271,assembly_line_type_8
3594,assembly_line_type_8
3594,assembly_line_type_4
3242,assembly_line_type_8
3242,assembly_line_type_4
17567,assembly_line_type_4
17567,assembly_line_type_8
5736,assembly_line_type_4
5736,assembly_line_type_8
13353,assembly_line_type_2
11198,assembly_line_type_6
11198,assembly_line_type_8
16865,assembly_line_type_6
16865,assembly_line_type_8
16865,assembly_line_type_2
8840,assembly_line_type_8
8840,assembly_line_type_4
8840,assembly_line_type_2
13974,assembly_line_type_2
13974,assembly_line_type_6
13974,assembly_line_type_8
4339,assembly_line_type_6
4339,assembly_line_type_8
4339,assembly_line_type_2
14540,assembly_line_type_6
14540,assembly_line_type_2
14540,assembly_line_type_8
183,assembly_line_type_6
183,assembly_line_type_8
13862,assembly_line_type_4
13862,assembly_line_type_8
2590,assembly_line_type_8
2590,assembly_line_type_6
12015,assembly_line_type_6
12015,assembly_line_type_8
16141,assembly_line_type_8
16141,assembly_line_type_6
