id,car_variant
6474,car_variant_34
15687,car_variant_34
15687,car_variant_35
16351,car_variant_35
16351,car_variant_34
5163,car_variant_34
5163,car_variant_35
12650,car_variant_35
7116,car_variant_35
7116,car_variant_34
18189,car_variant_34
18189,car_variant_35
2653,car_variant_35
3331,car_variant_34
3331,car_variant_35
3375,car_variant_35
3375,car_variant_34
16056,car_variant_34
16056,car_variant_35
14969,car_variant_35
14969,car_variant_34
12825,car_variant_34
12825,car_variant_35
6176,car_variant_35
6176,car_variant_34
15850,car_variant_34
15850,car_variant_35
10825,car_variant_34
10825,car_variant_35
16628,car_variant_35
16628,car_variant_34
3446,car_variant_35
3446,car_variant_34
8716,car_variant_20
14963,car_variant_11
12318,car_variant_11
18076,car_variant_20
18076,car_variant_11
11833,car_variant_20
402,car_variant_20
1288,car_variant_20
16595,car_variant_20
18413,car_variant_20
9859,car_variant_20
2578,car_variant_20
1204,car_variant_20
4497,car_variant_20
37,car_variant_20
3629,car_variant_20
16795,car_variant_11
16106,car_variant_11
8185,car_variant_11
8235,car_variant_20
8235,car_variant_9
8235,car_variant_11
14315,car_variant_11
17756,car_variant_11
14562,car_variant_11
8930,car_variant_11
11231,car_variant_11
17812,car_variant_11
3112,car_variant_11
6253,car_variant_15
187,car_variant_15
187,car_variant_11
10816,car_variant_11
10816,car_variant_15
2008,car_variant_11
2008,car_variant_15
10445,car_variant_15
10445,car_variant_11
258,car_variant_11
258,car_variant_15
15834,car_variant_15
12334,car_variant_15
12334,car_variant_11
9644,car_variant_11
9644,car_variant_15
14743,car_variant_15
14743,car_variant_11
6208,car_variant_15
6208,car_variant_11
6802,car_variant_15
14860,car_variant_15
14860,car_variant_11
14899,car_variant_15
14899,car_variant_11
581,car_variant_15
10985,car_variant_15
11010,car_variant_20
722,car_variant_11
722,car_variant_15
1747,car_variant_15
1747,car_variant_11
1349,car_variant_15
11444,car_variant_15
11444,car_variant_11
16517,car_variant_15
16517,car_variant_11
16202,car_variant_11
12511,car_variant_15
12511,car_variant_11
15171,car_variant_11
15171,car_variant_15
3879,car_variant_15
3879,car_variant_11
1863,car_variant_11
1863,car_variant_15
5142,car_variant_11
5142,car_variant_15
6796,car_variant_11
6796,car_variant_15
13838,car_variant_11
13838,car_variant_15
10913,car_variant_15
10913,car_variant_11
6880,car_variant_11
6880,car_variant_15
685,car_variant_15
685,car_variant_11
10680,car_variant_15
10680,car_variant_2
10680,car_variant_11
13845,car_variant_15
13845,car_variant_54
17736,car_variant_15
10319,car_variant_15
10970,car_variant_15
10970,car_variant_11
13652,car_variant_15
10161,car_variant_54
10161,car_variant_15
725,car_variant_15
725,car_variant_11
5074,car_variant_15
5924,car_variant_15
5924,car_variant_11
10516,car_variant_11
10516,car_variant_54
6883,car_variant_15
6883,car_variant_54
6883,car_variant_11
5545,car_variant_15
5545,car_variant_11
14433,car_variant_15
14433,car_variant_11
18058,car_variant_15
5834,car_variant_15
5834,car_variant_11
4630,car_variant_15
4630,car_variant_11
4630,car_variant_1
17414,car_variant_15
6244,car_variant_15
6244,car_variant_11
3158,car_variant_15
16320,car_variant_15
3465,car_variant_15
13490,car_variant_15
4628,car_variant_15
4029,car_variant_15
15057,car_variant_15
13522,car_variant_15
5254,car_variant_11
5254,car_variant_15
14991,car_variant_6
14991,car_variant_11
14991,car_variant_15
2810,car_variant_15
5025,car_variant_15
14112,car_variant_15
5352,car_variant_11
5352,car_variant_15
7049,car_variant_15
7049,car_variant_11
17758,car_variant_1
17758,car_variant_15
17758,car_variant_11
11766,car_variant_15
11766,car_variant_11
1574,car_variant_11
1574,car_variant_15
7237,car_variant_15
7237,car_variant_11
10902,car_variant_15
10902,car_variant_11
9016,car_variant_15
13955,car_variant_15
13955,car_variant_11
11005,car_variant_11
11005,car_variant_15
16584,car_variant_15
16584,car_variant_11
8277,car_variant_15
15081,car_variant_15
15081,car_variant_11
18220,car_variant_11
18220,car_variant_15
4595,car_variant_15
1666,car_variant_15
7585,car_variant_15
4309,car_variant_15
16809,car_variant_15
2385,car_variant_15
2385,car_variant_11
16139,car_variant_15
16139,car_variant_11
7077,car_variant_15
11828,car_variant_15
11828,car_variant_11
2774,car_variant_15
11037,car_variant_15
11464,car_variant_11
11464,car_variant_15
15801,car_variant_15
15801,car_variant_11
12847,car_variant_15
4002,car_variant_11
4002,car_variant_15
11100,car_variant_15
10511,car_variant_15
14706,car_variant_15
14706,car_variant_20
14706,car_variant_11
462,car_variant_11
462,car_variant_15
7885,car_variant_11
7885,car_variant_1
7885,car_variant_15
12276,car_variant_15
10402,car_variant_11
10402,car_variant_15
3412,car_variant_15
6860,car_variant_15
11114,car_variant_15
9907,car_variant_15
4121,car_variant_15
10493,car_variant_11
10493,car_variant_15
11770,car_variant_15
11770,car_variant_11
965,car_variant_11
965,car_variant_15
18004,car_variant_15
5928,car_variant_15
5928,car_variant_11
7405,car_variant_11
7405,car_variant_15
6803,car_variant_15
8764,car_variant_15
7925,car_variant_11
7925,car_variant_15
12798,car_variant_15
11394,car_variant_15
17869,car_variant_15
10129,car_variant_15
13354,car_variant_15
16917,car_variant_15
17425,car_variant_11
17425,car_variant_15
18486,car_variant_11
18486,car_variant_15
6909,car_variant_15
12026,car_variant_15
16064,car_variant_15
11119,car_variant_15
8378,car_variant_11
8378,car_variant_15
894,car_variant_15
6648,car_variant_15
372,car_variant_11
372,car_variant_15
17066,car_variant_15
821,car_variant_15
608,car_variant_15
4535,car_variant_15
4640,car_variant_15
18296,car_variant_15
6904,car_variant_15
5059,car_variant_15
15102,car_variant_15
11286,car_variant_15
13438,car_variant_15
13438,car_variant_11
7851,car_variant_15
16336,car_variant_15
17470,car_variant_15
8388,car_variant_15
4141,car_variant_15
4163,car_variant_15
13077,car_variant_15
15343,car_variant_15
6475,car_variant_15
6475,car_variant_11
12214,car_variant_15
6623,car_variant_15
1551,car_variant_15
13260,car_variant_15
12932,car_variant_15
4556,car_variant_15
8556,car_variant_15
14449,car_variant_15
18376,car_variant_15
17745,car_variant_15
17963,car_variant_1
17963,car_variant_15
17963,car_variant_11
10014,car_variant_15
9879,car_variant_15
1718,car_variant_15
13376,car_variant_15
13376,car_variant_11
17645,car_variant_15
2214,car_variant_15
12194,car_variant_15
12607,car_variant_15
378,car_variant_15
14616,car_variant_15
1326,car_variant_15
15085,car_variant_15
6339,car_variant_15
4151,car_variant_15
17950,car_variant_15
15427,car_variant_15
200,car_variant_15
18050,car_variant_15
3547,car_variant_15
15192,car_variant_15
13832,car_variant_15
2467,car_variant_15
6369,car_variant_15
12887,car_variant_11
12887,car_variant_15
8366,car_variant_15
2425,car_variant_11
2425,car_variant_15
8106,car_variant_11
8106,car_variant_15
12935,car_variant_15
4623,car_variant_15
222,car_variant_15
9059,car_variant_15
15381,car_variant_15
13154,car_variant_11
13154,car_variant_15
665,car_variant_15
10110,car_variant_15
1716,car_variant_15
3951,car_variant_15
17731,car_variant_15
16403,car_variant_15
8501,car_variant_15
15362,car_variant_15
9870,car_variant_15
8831,car_variant_15
5961,car_variant_15
9364,car_variant_15
18490,car_variant_15
9088,car_variant_15
9088,car_variant_11
2865,car_variant_11
16514,car_variant_30
18077,car_variant_29
14,car_variant_30
13453,car_variant_11
12828,car_variant_11
6359,car_variant_34
6359,car_variant_35
5881,car_variant_35
5881,car_variant_34
13337,car_variant_35
13337,car_variant_34
14986,car_variant_11
12978,car_variant_11
1553,car_variant_11
487,car_variant_11
5559,car_variant_11
8037,car_variant_11
5027,car_variant_11
15133,car_variant_11
5068,car_variant_11
11826,car_variant_11
7409,car_variant_11
13614,car_variant_11
11313,car_variant_11
8573,car_variant_11
15618,car_variant_11
8730,car_variant_20
2841,car_variant_11
8263,car_variant_11
8193,car_variant_11
5821,car_variant_11
14864,car_variant_11
14864,car_variant_20
7818,car_variant_11
6636,car_variant_11
3113,car_variant_11
15555,car_variant_11
15974,car_variant_11
13273,car_variant_11
10465,car_variant_11
1491,car_variant_11
7546,car_variant_11
8854,car_variant_11
14462,car_variant_11
2734,car_variant_11
6446,car_variant_11
11239,car_variant_11
6193,car_variant_11
3765,car_variant_11
12944,car_variant_11
4302,car_variant_11
16468,car_variant_11
12624,car_variant_11
17530,car_variant_11
7503,car_variant_11
6457,car_variant_11
16725,car_variant_11
5029,car_variant_20
16681,car_variant_11
11843,car_variant_29
11843,car_variant_11
11843,car_variant_30
11843,car_variant_20
6231,car_variant_11
15803,car_variant_11
15803,car_variant_29
13480,car_variant_11
11928,car_variant_11
8963,car_variant_11
10844,car_variant_11
13067,car_variant_11
9769,car_variant_11
15970,car_variant_11
6715,car_variant_11
5206,car_variant_30
16675,car_variant_11
5468,car_variant_29
2854,car_variant_30
8225,car_variant_11
15497,car_variant_15
10940,car_variant_20
8120,car_variant_15
15689,car_variant_15
15689,car_variant_6
15689,car_variant_7
15689,car_variant_11
5597,car_variant_11
5597,car_variant_15
4315,car_variant_15
11976,car_variant_15
11976,car_variant_20
11976,car_variant_11
268,car_variant_11
11609,car_variant_15
15967,car_variant_11
15967,car_variant_13
2184,car_variant_13
2184,car_variant_22
2184,car_variant_11
17071,car_variant_23
13185,car_variant_18
13185,car_variant_11
17329,car_variant_18
17329,car_variant_11
9509,car_variant_11
9509,car_variant_13
587,car_variant_13
587,car_variant_11
14586,car_variant_13
14586,car_variant_11
3967,car_variant_13
3967,car_variant_11
4941,car_variant_14
4941,car_variant_11
16781,car_variant_11
16781,car_variant_13
15684,car_variant_20
525,car_variant_13
525,car_variant_11
17856,car_variant_11
17856,car_variant_13
6932,car_variant_13
6932,car_variant_11
9787,car_variant_13
9787,car_variant_14
9787,car_variant_11
4740,car_variant_13
4053,car_variant_11
6376,car_variant_13
6376,car_variant_11
13330,car_variant_13
13330,car_variant_11
8036,car_variant_13
3895,car_variant_11
333,car_variant_11
333,car_variant_13
16024,car_variant_14
16024,car_variant_11
10696,car_variant_14
10696,car_variant_11
17505,car_variant_13
17505,car_variant_11
4045,car_variant_13
4045,car_variant_11
18399,car_variant_13
18399,car_variant_11
11874,car_variant_13
11874,car_variant_11
17062,car_variant_11
17062,car_variant_13
8042,car_variant_11
11725,car_variant_11
750,car_variant_11
7315,car_variant_11
16339,car_variant_11
2212,car_variant_11
7545,car_variant_11
14767,car_variant_11
5282,car_variant_11
12389,car_variant_11
1380,car_variant_11
10409,car_variant_20
10658,car_variant_11
6144,car_variant_11
10370,car_variant_11
17852,car_variant_11
5032,car_variant_11
5370,car_variant_11
12273,car_variant_11
1998,car_variant_11
17379,car_variant_11
252,car_variant_11
14875,car_variant_11
6834,car_variant_11
9158,car_variant_11
8694,car_variant_11
7348,car_variant_11
12661,car_variant_11
7171,car_variant_11
4733,car_variant_11
1931,car_variant_11
14047,car_variant_11
611,car_variant_11
9354,car_variant_11
15287,car_variant_11
13403,car_variant_11
982,car_variant_11
8581,car_variant_11
7504,car_variant_11
17653,car_variant_11
2741,car_variant_11
10977,car_variant_20
8359,car_variant_11
7385,car_variant_11
8467,car_variant_32
8467,car_variant_11
11740,car_variant_11
9778,car_variant_11
15626,car_variant_11
3949,car_variant_11
3663,car_variant_32
17209,car_variant_11
400,car_variant_11
4861,car_variant_11
805,car_variant_11
11989,car_variant_11
748,car_variant_11
10508,car_variant_11
5977,car_variant_11
2090,car_variant_11
5257,car_variant_11
8159,car_variant_11
1135,car_variant_11
6679,car_variant_11
6313,car_variant_11
1231,car_variant_11
1706,car_variant_32
1706,car_variant_11
16741,car_variant_15
4629,car_variant_11
4629,car_variant_15
3491,car_variant_15
3491,car_variant_11
9852,car_variant_15
10293,car_variant_15
10293,car_variant_11
9596,car_variant_11
9596,car_variant_15
5300,car_variant_15
5300,car_variant_11
15871,car_variant_15
15871,car_variant_11
1566,car_variant_11
1566,car_variant_15
4254,car_variant_11
4254,car_variant_15
2652,car_variant_11
2652,car_variant_15
484,car_variant_15
484,car_variant_11
1588,car_variant_15
1588,car_variant_11
10561,car_variant_11
10561,car_variant_15
7174,car_variant_15
12209,car_variant_15
17627,car_variant_11
17627,car_variant_15
3701,car_variant_20
15517,car_variant_15
15517,car_variant_11
16136,car_variant_11
16136,car_variant_15
9720,car_variant_11
9720,car_variant_15
5184,car_variant_11
5184,car_variant_2
5184,car_variant_15
11581,car_variant_11
11581,car_variant_15
6327,car_variant_11
16645,car_variant_15
16645,car_variant_11
1704,car_variant_11
1704,car_variant_15
4279,car_variant_11
4279,car_variant_15
12527,car_variant_11
12527,car_variant_15
47,car_variant_15
47,car_variant_11
5617,car_variant_15
5617,car_variant_11
8530,car_variant_11
8530,car_variant_15
11653,car_variant_15
11653,car_variant_11
13920,car_variant_15
13920,car_variant_11
3191,car_variant_15
3191,car_variant_11
6439,car_variant_11
6439,car_variant_15
15350,car_variant_15
5512,car_variant_15
16346,car_variant_11
16346,car_variant_15
12308,car_variant_11
12308,car_variant_15
14668,car_variant_15
16441,car_variant_11
16562,car_variant_11
16562,car_variant_15
9919,car_variant_11
9919,car_variant_15
12731,car_variant_11
12731,car_variant_15
17525,car_variant_15
17525,car_variant_11
2829,car_variant_11
2829,car_variant_15
13065,car_variant_15
13065,car_variant_11
13888,car_variant_15
2067,car_variant_15
2067,car_variant_11
17949,car_variant_11
886,car_variant_11
886,car_variant_15
18120,car_variant_15
17434,car_variant_11
4884,car_variant_15
4884,car_variant_11
7017,car_variant_15
18407,car_variant_15
17867,car_variant_11
17867,car_variant_15
17134,car_variant_15
14131,car_variant_11
14131,car_variant_15
6517,car_variant_15
6517,car_variant_11
10666,car_variant_11
10666,car_variant_15
14592,car_variant_11
8759,car_variant_15
7878,car_variant_11
7878,car_variant_15
13792,car_variant_54
13792,car_variant_15
17833,car_variant_15
17833,car_variant_11
14360,car_variant_15
4591,car_variant_15
16142,car_variant_11
16142,car_variant_15
628,car_variant_15
893,car_variant_11
893,car_variant_15
11341,car_variant_15
6581,car_variant_15
13606,car_variant_15
10407,car_variant_15
17931,car_variant_15
6564,car_variant_15
9848,car_variant_15
9598,car_variant_11
9598,car_variant_15
12282,car_variant_15
12282,car_variant_11
15099,car_variant_15
11207,car_variant_15
11207,car_variant_11
6160,car_variant_15
12569,car_variant_15
12569,car_variant_11
10492,car_variant_15
1126,car_variant_11
1126,car_variant_15
3684,car_variant_11
3684,car_variant_15
11968,car_variant_11
11968,car_variant_15
9372,car_variant_15
9372,car_variant_11
1477,car_variant_15
14661,car_variant_11
14997,car_variant_15
2322,car_variant_11
2322,car_variant_15
7354,car_variant_11
7354,car_variant_15
11981,car_variant_15
7279,car_variant_11
7279,car_variant_15
386,car_variant_11
386,car_variant_15
7835,car_variant_15
7835,car_variant_11
12590,car_variant_15
12590,car_variant_11
4092,car_variant_15
4092,car_variant_11
14100,car_variant_15
9722,car_variant_15
12495,car_variant_15
12227,car_variant_15
12227,car_variant_11
5693,car_variant_15
13688,car_variant_15
17825,car_variant_15
11878,car_variant_15
13552,car_variant_15
13552,car_variant_11
10520,car_variant_11
10520,car_variant_15
10137,car_variant_15
10137,car_variant_11
855,car_variant_11
855,car_variant_15
17557,car_variant_15
3667,car_variant_15
11352,car_variant_15
11352,car_variant_20
13408,car_variant_15
5178,car_variant_15
7372,car_variant_15
7372,car_variant_2
7372,car_variant_3
7372,car_variant_5
5784,car_variant_15
5784,car_variant_3
5784,car_variant_7
5784,car_variant_5
5784,car_variant_6
4047,car_variant_15
11367,car_variant_15
17801,car_variant_15
460,car_variant_15
12790,car_variant_15
2999,car_variant_15
5476,car_variant_15
17540,car_variant_11
17540,car_variant_15
8880,car_variant_15
13391,car_variant_15
13391,car_variant_11
12112,car_variant_15
10676,car_variant_15
11133,car_variant_15
1508,car_variant_15
375,car_variant_15
375,car_variant_11
12473,car_variant_15
3692,car_variant_15
14557,car_variant_11
14557,car_variant_15
17724,car_variant_11
17724,car_variant_15
8673,car_variant_15
18253,car_variant_15
595,car_variant_15
6565,car_variant_15
17749,car_variant_15
10783,car_variant_15
2216,car_variant_15
15716,car_variant_15
18116,car_variant_11
18116,car_variant_15
10572,car_variant_15
8234,car_variant_15
11189,car_variant_11
11189,car_variant_15
11895,car_variant_11
11895,car_variant_15
4658,car_variant_11
4674,car_variant_15
2991,car_variant_15
6747,car_variant_15
3052,car_variant_15
6990,car_variant_15
5439,car_variant_15
5439,car_variant_11
13612,car_variant_15
13612,car_variant_11
8173,car_variant_15
6902,car_variant_15
18176,car_variant_11
18176,car_variant_15
11790,car_variant_11
11790,car_variant_15
15693,car_variant_15
15693,car_variant_11
5320,car_variant_15
5320,car_variant_11
3877,car_variant_15
13361,car_variant_11
13361,car_variant_15
15072,car_variant_15
9280,car_variant_15
3789,car_variant_15
14664,car_variant_15
14664,car_variant_11
14647,car_variant_11
9980,car_variant_15
1382,car_variant_15
16456,car_variant_15
13078,car_variant_15
7360,car_variant_15
1493,car_variant_15
5731,car_variant_15
10329,car_variant_11
10329,car_variant_15
267,car_variant_15
14087,car_variant_15
13440,car_variant_15
13440,car_variant_11
11758,car_variant_15
14439,car_variant_11
8355,car_variant_15
11357,car_variant_15
17017,car_variant_15
5304,car_variant_15
10803,car_variant_15
17568,car_variant_15
4620,car_variant_15
12275,car_variant_15
7146,car_variant_15
11896,car_variant_15
10403,car_variant_15
45,car_variant_15
9928,car_variant_15
2091,car_variant_15
12939,car_variant_15
16012,car_variant_11
16012,car_variant_2
16012,car_variant_15
1368,car_variant_15
10790,car_variant_11
10790,car_variant_15
9911,car_variant_15
14907,car_variant_15
6638,car_variant_15
10857,car_variant_15
4470,car_variant_15
4470,car_variant_11
15434,car_variant_15
15434,car_variant_11
7667,car_variant_15
3327,car_variant_15
12278,car_variant_15
6267,car_variant_15
17581,car_variant_15
8269,car_variant_15
7055,car_variant_35
7055,car_variant_34
14032,car_variant_35
14032,car_variant_34
13543,car_variant_35
13543,car_variant_34
13341,car_variant_35
13341,car_variant_34
17440,car_variant_34
17440,car_variant_35
6379,car_variant_34
6379,car_variant_35
7864,car_variant_34
7864,car_variant_35
10047,car_variant_34
10047,car_variant_35
10047,car_variant_20
6837,car_variant_34
6837,car_variant_35
8007,car_variant_35
8007,car_variant_34
6931,car_variant_34
6931,car_variant_35
5846,car_variant_35
5846,car_variant_34
11038,car_variant_34
11038,car_variant_35
10687,car_variant_34
10687,car_variant_35
7866,car_variant_34
7866,car_variant_35
3881,car_variant_34
3881,car_variant_35
12143,car_variant_35
12143,car_variant_34
3066,car_variant_35
3066,car_variant_34
6689,car_variant_34
6689,car_variant_35
6387,car_variant_35
6387,car_variant_34
11651,car_variant_34
11651,car_variant_35
3864,car_variant_34
3864,car_variant_35
9441,car_variant_35
9441,car_variant_34
15640,car_variant_35
15640,car_variant_34
13801,car_variant_35
13801,car_variant_34
12836,car_variant_34
12836,car_variant_35
10058,car_variant_34
10058,car_variant_35
14839,car_variant_35
14839,car_variant_34
1810,car_variant_35
1810,car_variant_34
15538,car_variant_34
4217,car_variant_34
4217,car_variant_35
6838,car_variant_35
6838,car_variant_34
8619,car_variant_34
8619,car_variant_35
5714,car_variant_35
5714,car_variant_34
7137,car_variant_35
7137,car_variant_34
10001,car_variant_34
10001,car_variant_35
5785,car_variant_35
5785,car_variant_34
2162,car_variant_34
2162,car_variant_35
17358,car_variant_34
17358,car_variant_35
13837,car_variant_35
13837,car_variant_34
17034,car_variant_34
17034,car_variant_35
1933,car_variant_34
1933,car_variant_35
12182,car_variant_34
18421,car_variant_34
18421,car_variant_35
12104,car_variant_35
12104,car_variant_34
3431,car_variant_35
3431,car_variant_34
2437,car_variant_35
2437,car_variant_34
17751,car_variant_35
17751,car_variant_34
3429,car_variant_34
3429,car_variant_20
3429,car_variant_35
11150,car_variant_34
11150,car_variant_35
7952,car_variant_35
7952,car_variant_20
10593,car_variant_34
10593,car_variant_35
516,car_variant_35
516,car_variant_34
17647,car_variant_35
17647,car_variant_34
10956,car_variant_35
10956,car_variant_34
2550,car_variant_35
2550,car_variant_34
14153,car_variant_35
5081,car_variant_34
5081,car_variant_35
12379,car_variant_35
1663,car_variant_20
1663,car_variant_35
1663,car_variant_34
10627,car_variant_35
10627,car_variant_34
2656,car_variant_34
2656,car_variant_35
4317,car_variant_35
15568,car_variant_35
16021,car_variant_34
16021,car_variant_35
15156,car_variant_35
15156,car_variant_34
2763,car_variant_34
2763,car_variant_35
10136,car_variant_34
10136,car_variant_35
6212,car_variant_35
6212,car_variant_34
6212,car_variant_20
12478,car_variant_34
12478,car_variant_35
9898,car_variant_34
9898,car_variant_35
9406,car_variant_34
9406,car_variant_35
16763,car_variant_35
8466,car_variant_34
8466,car_variant_35
9727,car_variant_34
9727,car_variant_35
6427,car_variant_35
636,car_variant_34
636,car_variant_35
17830,car_variant_34
17830,car_variant_35
5783,car_variant_34
5783,car_variant_35
11301,car_variant_35
1059,car_variant_35
1059,car_variant_34
8316,car_variant_35
8316,car_variant_34
13219,car_variant_34
13219,car_variant_35
8750,car_variant_35
8750,car_variant_34
15676,car_variant_34
15676,car_variant_35
17019,car_variant_35
17019,car_variant_34
13987,car_variant_34
13987,car_variant_35
8062,car_variant_34
8062,car_variant_35
4285,car_variant_35
4285,car_variant_34
7944,car_variant_34
10567,car_variant_34
10567,car_variant_35
3336,car_variant_34
3336,car_variant_35
5526,car_variant_35
5526,car_variant_34
3279,car_variant_35
4608,car_variant_35
4184,car_variant_34
4184,car_variant_35
11294,car_variant_35
3201,car_variant_35
14132,car_variant_35
14345,car_variant_35
14345,car_variant_34
8897,car_variant_35
8897,car_variant_34
15400,car_variant_34
15657,car_variant_34
15657,car_variant_35
4103,car_variant_34
4103,car_variant_35
13733,car_variant_35
13733,car_variant_34
13346,car_variant_35
13346,car_variant_34
2992,car_variant_35
2992,car_variant_34
3064,car_variant_20
3064,car_variant_34
3064,car_variant_35
12216,car_variant_35
12216,car_variant_34
8804,car_variant_11
13299,car_variant_20
7297,car_variant_11
7313,car_variant_11
13382,car_variant_11
13382,car_variant_2
13382,car_variant_28
16525,car_variant_11
2847,car_variant_11
18408,car_variant_11
3306,car_variant_27
3306,car_variant_11
8247,car_variant_11
1621,car_variant_11
14811,car_variant_11
3916,car_variant_11
10610,car_variant_11
4741,car_variant_28
13137,car_variant_11
18388,car_variant_11
15584,car_variant_11
15183,car_variant_11
13282,car_variant_20
14297,car_variant_11
14605,car_variant_11
9891,car_variant_11
1992,car_variant_11
11345,car_variant_11
11281,car_variant_11
9421,car_variant_11
4148,car_variant_11
1924,car_variant_11
4922,car_variant_11
13823,car_variant_11
11808,car_variant_11
4418,car_variant_11
5561,car_variant_11
10477,car_variant_11
11173,car_variant_11
1413,car_variant_20
15021,car_variant_11
14464,car_variant_11
5322,car_variant_11
18131,car_variant_11
4161,car_variant_29
12690,car_variant_30
13079,car_variant_30
13079,car_variant_29
2185,car_variant_11
2185,car_variant_29
2048,car_variant_30
11776,car_variant_7
11776,car_variant_11
777,car_variant_30
777,car_variant_11
5427,car_variant_11
1803,car_variant_11
753,car_variant_11
9501,car_variant_11
9127,car_variant_11
9476,car_variant_11
14445,car_variant_11
1786,car_variant_11
18249,car_variant_11
12988,car_variant_11
482,car_variant_20
9789,car_variant_11
3420,car_variant_20
4544,car_variant_11
9529,car_variant_11
13473,car_variant_11
12633,car_variant_11
9781,car_variant_11
9782,car_variant_11
1918,car_variant_11
16548,car_variant_11
4557,car_variant_11
4290,car_variant_11
11061,car_variant_11
16193,car_variant_11
14460,car_variant_11
12561,car_variant_11
2869,car_variant_11
8122,car_variant_11
4084,car_variant_11
15811,car_variant_11
1637,car_variant_11
350,car_variant_11
15736,car_variant_11
14261,car_variant_11
16593,car_variant_11
17605,car_variant_11
14326,car_variant_11
14679,car_variant_11
14140,car_variant_11
12233,car_variant_11
12084,car_variant_11
17502,car_variant_11
14463,car_variant_11
812,car_variant_11
12487,car_variant_11
16240,car_variant_11
1598,car_variant_11
17515,car_variant_11
6823,car_variant_11
16724,car_variant_11
12811,car_variant_11
12811,car_variant_15
9853,car_variant_11
479,car_variant_11
34,car_variant_20
34,car_variant_15
34,car_variant_10
34,car_variant_11
17416,car_variant_11
17853,car_variant_11
11459,car_variant_11
11887,car_variant_11
16818,car_variant_11
5510,car_variant_11
17033,car_variant_11
7978,car_variant_20
7853,car_variant_11
17533,car_variant_54
17533,car_variant_11
3043,car_variant_11
1677,car_variant_20
1677,car_variant_54
810,car_variant_54
14310,car_variant_54
3308,car_variant_11
7076,car_variant_11
7076,car_variant_13
3640,car_variant_13
3640,car_variant_11
15800,car_variant_11
11130,car_variant_11
11130,car_variant_13
11687,car_variant_11
15539,car_variant_11
2580,car_variant_23
8392,car_variant_11
8616,car_variant_11
2407,car_variant_11
2407,car_variant_13
17448,car_variant_11
17448,car_variant_13
4249,car_variant_11
4249,car_variant_13
1294,car_variant_11
1294,car_variant_13
6818,car_variant_13
6818,car_variant_11
5681,car_variant_11
