id,issue_type
5300,issue_type_1
15871,issue_type_1
1566,issue_type_1
4254,issue_type_1
2652,issue_type_1
484,issue_type_1
1588,issue_type_1
10561,issue_type_1
7174,issue_type_2
12209,issue_type_2
17627,issue_type_1
3701,issue_type_1
15517,issue_type_1
16136,issue_type_1
9720,issue_type_1
5184,issue_type_1
11581,issue_type_1
6327,issue_type_1
16645,issue_type_1
1704,issue_type_1
4279,issue_type_1
12527,issue_type_1
47,issue_type_1
5617,issue_type_1
8530,issue_type_1
11653,issue_type_1
13920,issue_type_1
3191,issue_type_1
6439,issue_type_1
15350,issue_type_2
5512,issue_type_2
16346,issue_type_1
12308,issue_type_1
14668,issue_type_2
16441,issue_type_1
16562,issue_type_1
9919,issue_type_1
12731,issue_type_1
17525,issue_type_1
2829,issue_type_1
13065,issue_type_1
13888,issue_type_2
2067,issue_type_1
17949,issue_type_1
886,issue_type_1
18120,issue_type_2
17434,issue_type_1
4884,issue_type_1
7017,issue_type_2
18407,issue_type_2
17867,issue_type_1
17134,issue_type_2
14131,issue_type_1
6517,issue_type_1
10666,issue_type_1
14592,issue_type_1
8759,issue_type_2
7878,issue_type_1
13792,issue_type_2
17833,issue_type_1
14360,issue_type_2
4591,issue_type_2
16142,issue_type_1
628,issue_type_2
893,issue_type_1
11341,issue_type_2
6581,issue_type_2
13606,issue_type_2
10407,issue_type_2
17931,issue_type_2
6564,issue_type_2
9848,issue_type_2
9598,issue_type_1
12282,issue_type_1
15099,issue_type_2
11207,issue_type_1
6160,issue_type_2
12569,issue_type_1
10492,issue_type_2
1126,issue_type_1
3684,issue_type_1
11968,issue_type_1
9372,issue_type_1
1477,issue_type_2
14661,issue_type_1
14997,issue_type_2
2322,issue_type_1
7354,issue_type_1
11981,issue_type_2
7279,issue_type_1
386,issue_type_1
7835,issue_type_1
12590,issue_type_1
4092,issue_type_1
14100,issue_type_2
9722,issue_type_2
12495,issue_type_2
12227,issue_type_1
5693,issue_type_2
13688,issue_type_2
17825,issue_type_2
11878,issue_type_2
13552,issue_type_1
10520,issue_type_1
10137,issue_type_1
855,issue_type_1
17557,issue_type_2
3667,issue_type_2
11352,issue_type_1
13408,issue_type_2
5178,issue_type_2
7372,issue_type_1
5784,issue_type_1
4047,issue_type_2
11367,issue_type_2
17801,issue_type_2
460,issue_type_2
12790,issue_type_2
2999,issue_type_2
5476,issue_type_2
17540,issue_type_1
8880,issue_type_2
13391,issue_type_1
12112,issue_type_2
10676,issue_type_2
11133,issue_type_2
1508,issue_type_2
375,issue_type_1
12473,issue_type_2
3692,issue_type_2
14557,issue_type_1
17724,issue_type_1
8673,issue_type_2
18253,issue_type_2
595,issue_type_2
6565,issue_type_2
17749,issue_type_2
10783,issue_type_2
2216,issue_type_2
15716,issue_type_2
18116,issue_type_1
10572,issue_type_2
8234,issue_type_2
11189,issue_type_1
11895,issue_type_1
4658,issue_type_1
4674,issue_type_2
2991,issue_type_2
6747,issue_type_2
3052,issue_type_2
6990,issue_type_2
5439,issue_type_1
13612,issue_type_1
8173,issue_type_2
6902,issue_type_2
18176,issue_type_1
11790,issue_type_1
15693,issue_type_1
5320,issue_type_1
3877,issue_type_2
13361,issue_type_1
15072,issue_type_2
9280,issue_type_2
3789,issue_type_2
14664,issue_type_1
14647,issue_type_1
9980,issue_type_2
1382,issue_type_2
16456,issue_type_2
13078,issue_type_2
7360,issue_type_2
1493,issue_type_2
5731,issue_type_2
10329,issue_type_1
267,issue_type_2
14087,issue_type_2
13440,issue_type_1
11758,issue_type_2
14439,issue_type_1
8355,issue_type_2
11357,issue_type_2
17017,issue_type_2
5304,issue_type_2
10803,issue_type_2
17568,issue_type_2
4620,issue_type_2
12275,issue_type_2
7146,issue_type_2
11896,issue_type_2
10403,issue_type_2
45,issue_type_2
9928,issue_type_2
2091,issue_type_2
12939,issue_type_2
16012,issue_type_1
1368,issue_type_2
10790,issue_type_1
9911,issue_type_2
14907,issue_type_2
6638,issue_type_2
10857,issue_type_2
4470,issue_type_1
15434,issue_type_1
7667,issue_type_2
3327,issue_type_2
12278,issue_type_2
6267,issue_type_2
17581,issue_type_2
8269,issue_type_2
7055,issue_type_2
14032,issue_type_2
13543,issue_type_2
13341,issue_type_2
17440,issue_type_2
6379,issue_type_2
7864,issue_type_2
10047,issue_type_1
6837,issue_type_2
8007,issue_type_2
6931,issue_type_2
5846,issue_type_2
11038,issue_type_2
10687,issue_type_2
7866,issue_type_2
3881,issue_type_2
12143,issue_type_2
3066,issue_type_2
6689,issue_type_2
6387,issue_type_2
11651,issue_type_2
3864,issue_type_2
9441,issue_type_2
15640,issue_type_2
13801,issue_type_2
12836,issue_type_2
10058,issue_type_2
14839,issue_type_2
1810,issue_type_2
15538,issue_type_2
4217,issue_type_2
6838,issue_type_2
8619,issue_type_2
5714,issue_type_2
7137,issue_type_2
10001,issue_type_2
5785,issue_type_2
2162,issue_type_2
17358,issue_type_2
13837,issue_type_2
17034,issue_type_2
1933,issue_type_2
12182,issue_type_2
18421,issue_type_2
12104,issue_type_2
3431,issue_type_2
2437,issue_type_2
17751,issue_type_2
3429,issue_type_1
11150,issue_type_2
7952,issue_type_1
10593,issue_type_2
516,issue_type_2
17647,issue_type_2
10956,issue_type_2
2550,issue_type_2
14153,issue_type_4
5081,issue_type_2
12379,issue_type_4
1663,issue_type_1
10627,issue_type_2
2656,issue_type_2
4317,issue_type_4
15568,issue_type_4
16021,issue_type_2
15156,issue_type_2
2763,issue_type_2
10136,issue_type_2
6212,issue_type_1
12478,issue_type_2
9898,issue_type_2
9406,issue_type_2
16763,issue_type_4
8466,issue_type_2
9727,issue_type_2
6427,issue_type_4
636,issue_type_2
17830,issue_type_2
5783,issue_type_2
11301,issue_type_4
1059,issue_type_2
8316,issue_type_2
13219,issue_type_2
8750,issue_type_2
15676,issue_type_2
17019,issue_type_2
13987,issue_type_2
8062,issue_type_2
4285,issue_type_2
7944,issue_type_2
10567,issue_type_2
3336,issue_type_2
5526,issue_type_2
3279,issue_type_4
4608,issue_type_4
4184,issue_type_2
11294,issue_type_4
3201,issue_type_4
14132,issue_type_4
14345,issue_type_2
8897,issue_type_2
15400,issue_type_2
15657,issue_type_2
4103,issue_type_2
13733,issue_type_2
13346,issue_type_2
2992,issue_type_2
3064,issue_type_1
12216,issue_type_2
8804,issue_type_1
13299,issue_type_1
7297,issue_type_1
7313,issue_type_1
13382,issue_type_1
16525,issue_type_1
2847,issue_type_1
18408,issue_type_1
3306,issue_type_1
8247,issue_type_1
1621,issue_type_1
14811,issue_type_1
3916,issue_type_1
10610,issue_type_1
4741,issue_type_1
13137,issue_type_1
18388,issue_type_1
15584,issue_type_1
15183,issue_type_1
13282,issue_type_1
14297,issue_type_1
14605,issue_type_1
9891,issue_type_1
1992,issue_type_1
11345,issue_type_1
11281,issue_type_1
9421,issue_type_1
4148,issue_type_1
1924,issue_type_1
4922,issue_type_1
13823,issue_type_1
11808,issue_type_1
4418,issue_type_1
5561,issue_type_1
10477,issue_type_1
11173,issue_type_1
1413,issue_type_1
15021,issue_type_1
14464,issue_type_1
5322,issue_type_1
18131,issue_type_1
4161,issue_type_1
12690,issue_type_5
13079,issue_type_1
2185,issue_type_1
2048,issue_type_5
11776,issue_type_2
777,issue_type_1
5427,issue_type_2
1803,issue_type_2
753,issue_type_1
9501,issue_type_1
9127,issue_type_1
9476,issue_type_1
14445,issue_type_1
1786,issue_type_2
18249,issue_type_1
12988,issue_type_1
482,issue_type_1
9789,issue_type_1
3420,issue_type_1
4544,issue_type_1
9529,issue_type_2
13473,issue_type_2
12633,issue_type_2
9781,issue_type_1
9782,issue_type_1
1918,issue_type_1
16548,issue_type_2
4557,issue_type_2
4290,issue_type_1
11061,issue_type_1
16193,issue_type_1
14460,issue_type_1
12561,issue_type_2
2869,issue_type_2
8122,issue_type_1
4084,issue_type_1
15811,issue_type_2
1637,issue_type_2
350,issue_type_1
15736,issue_type_1
14261,issue_type_1
16593,issue_type_1
17605,issue_type_1
14326,issue_type_1
14679,issue_type_2
14140,issue_type_1
12233,issue_type_1
12084,issue_type_1
17502,issue_type_1
14463,issue_type_1
812,issue_type_1
12487,issue_type_1
16240,issue_type_1
1598,issue_type_1
17515,issue_type_1
6823,issue_type_2
16724,issue_type_1
12811,issue_type_1
9853,issue_type_1
479,issue_type_1
34,issue_type_1
17416,issue_type_1
17853,issue_type_1
11459,issue_type_1
11887,issue_type_1
16818,issue_type_1
5510,issue_type_1
17033,issue_type_1
7978,issue_type_1
7853,issue_type_1
17533,issue_type_1
3043,issue_type_1
1677,issue_type_1
810,issue_type_4
14310,issue_type_4
3308,issue_type_1
7076,issue_type_1
3640,issue_type_1
15800,issue_type_2
11130,issue_type_1
11687,issue_type_1
15539,issue_type_2
2580,issue_type_4
8392,issue_type_1
8616,issue_type_1
2407,issue_type_1
17448,issue_type_1
4249,issue_type_1
1294,issue_type_1
6818,issue_type_1
5681,issue_type_2
10981,issue_type_1
11271,issue_type_1
3594,issue_type_2
3242,issue_type_2
17567,issue_type_2
5736,issue_type_2
13353,issue_type_1
11198,issue_type_1
16865,issue_type_1
8840,issue_type_2
13974,issue_type_1
4339,issue_type_1
14540,issue_type_1
183,issue_type_1
13862,issue_type_2
2590,issue_type_1
12015,issue_type_1
16141,issue_type_1
8599,issue_type_1
5484,issue_type_1
9610,issue_type_1
11215,issue_type_1
9944,issue_type_1
3861,issue_type_1
7452,issue_type_1
11994,issue_type_1
4651,issue_type_2
861,issue_type_1
6321,issue_type_1
5379,issue_type_1
3693,issue_type_1
5190,issue_type_1
5340,issue_type_1
8566,issue_type_1
4146,issue_type_1
11291,issue_type_1
3842,issue_type_1
2353,issue_type_1
10530,issue_type_2
14233,issue_type_1
4747,issue_type_1
5043,issue_type_1
16588,issue_type_1
3156,issue_type_1
14994,issue_type_2
6749,issue_type_1
4300,issue_type_1
7624,issue_type_2
3974,issue_type_2
1351,issue_type_2
9485,issue_type_2
13841,issue_type_2
17730,issue_type_2
3451,issue_type_2
1789,issue_type_2
12373,issue_type_1
9276,issue_type_1
6418,issue_type_1
15844,issue_type_1
14903,issue_type_1
6218,issue_type_2
8662,issue_type_1
2842,issue_type_1
16558,issue_type_1
2499,issue_type_1
5839,issue_type_1
1601,issue_type_1
6416,issue_type_1
5272,issue_type_1
11395,issue_type_2
6644,issue_type_1
13239,issue_type_2
7912,issue_type_1
883,issue_type_2
4460,issue_type_2
8134,issue_type_1
3726,issue_type_4
9647,issue_type_4
1481,issue_type_1
12651,issue_type_1
14467,issue_type_2
13883,issue_type_1
11694,issue_type_1
6450,issue_type_1
9885,issue_type_1
16982,issue_type_1
816,issue_type_1
18544,issue_type_1
7476,issue_type_1
16998,issue_type_1
3234,issue_type_1
550,issue_type_1
7951,issue_type_1
12236,issue_type_1
3824,issue_type_1
7319,issue_type_1
242,issue_type_1
14552,issue_type_1
4618,issue_type_1
17659,issue_type_1
1053,issue_type_1
12082,issue_type_1
12284,issue_type_1
12886,issue_type_1
3164,issue_type_1
7645,issue_type_1
13432,issue_type_1
16455,issue_type_1
6300,issue_type_1
12668,issue_type_1
5853,issue_type_4
13531,issue_type_2
11531,issue_type_1
15962,issue_type_1
11194,issue_type_1
13461,issue_type_1
2223,issue_type_1
18197,issue_type_1
4532,issue_type_4
2280,issue_type_1
10377,issue_type_1
14909,issue_type_1
10988,issue_type_1
8765,issue_type_1
10535,issue_type_1
17650,issue_type_1
14443,issue_type_1
7420,issue_type_1
2505,issue_type_1
8567,issue_type_1
3130,issue_type_1
7148,issue_type_1
1225,issue_type_1
8116,issue_type_1
15425,issue_type_1
8950,issue_type_1
13229,issue_type_1
5227,issue_type_1
3225,issue_type_1
16461,issue_type_1
10380,issue_type_1
10615,issue_type_1
1946,issue_type_1
12408,issue_type_1
8875,issue_type_1
10924,issue_type_2
14166,issue_type_2
11915,issue_type_1
5553,issue_type_2
7234,issue_type_1
9260,issue_type_1
4738,issue_type_1
9379,issue_type_1
256,issue_type_4
15359,issue_type_1
7404,issue_type_2
10286,issue_type_1
16899,issue_type_1
3672,issue_type_1
9443,issue_type_2
16520,issue_type_1
18494,issue_type_1
9363,issue_type_1
5451,issue_type_1
2540,issue_type_1
11545,issue_type_1
4678,issue_type_1
11899,issue_type_1
10518,issue_type_1
11425,issue_type_1
2274,issue_type_1
12111,issue_type_1
8361,issue_type_1
7124,issue_type_2
9762,issue_type_2
6467,issue_type_4
8132,issue_type_2
6033,issue_type_2
17643,issue_type_1
13469,issue_type_1
8117,issue_type_1
17299,issue_type_4
11377,issue_type_1
2655,issue_type_4
14490,issue_type_1
11330,issue_type_2
1974,issue_type_2
2793,issue_type_1
4758,issue_type_1
6609,issue_type_1
17706,issue_type_1
1319,issue_type_1
5464,issue_type_1
14197,issue_type_1
13632,issue_type_1
9981,issue_type_1
3755,issue_type_1
8990,issue_type_1
160,issue_type_1
15823,issue_type_2
8240,issue_type_2
13506,issue_type_1
6462,issue_type_1
2219,issue_type_1
13081,issue_type_1
7423,issue_type_1
7766,issue_type_1
3988,issue_type_1
2017,issue_type_1
14425,issue_type_1
1298,issue_type_1
17829,issue_type_2
948,issue_type_1
2576,issue_type_1
4791,issue_type_1
11063,issue_type_2
13470,issue_type_1
12437,issue_type_1
8903,issue_type_1
12804,issue_type_1
8910,issue_type_2
12399,issue_type_2
2397,issue_type_2
7057,issue_type_2
17474,issue_type_1
14781,issue_type_4
11712,issue_type_2
10512,issue_type_1
5105,issue_type_1
17671,issue_type_1
3330,issue_type_2
11914,issue_type_2
15304,issue_type_2
132,issue_type_2
17156,issue_type_2
6814,issue_type_2
8577,issue_type_2
3733,issue_type_1
8680,issue_type_2
9962,issue_type_2
12361,issue_type_2
3942,issue_type_1
11236,issue_type_1
12958,issue_type_1
11539,issue_type_1
1173,issue_type_2
5325,issue_type_1
17974,issue_type_1
14534,issue_type_1
18496,issue_type_2
7568,issue_type_1
5771,issue_type_1
2654,issue_type_1
9008,issue_type_2
6666,issue_type_1
10770,issue_type_2
6744,issue_type_2
10073,issue_type_2
7203,issue_type_1
13574,issue_type_1
2706,issue_type_1
9028,issue_type_2
9378,issue_type_1
2787,issue_type_2
16787,issue_type_2
5011,issue_type_1
9579,issue_type_1
1255,issue_type_2
17727,issue_type_2
4729,issue_type_2
5247,issue_type_2
12987,issue_type_2
16192,issue_type_2
17573,issue_type_1
15788,issue_type_2
5722,issue_type_2
9078,issue_type_2
12592,issue_type_1
708,issue_type_2
9603,issue_type_2
9860,issue_type_2
16480,issue_type_2
18088,issue_type_2
15001,issue_type_2
16425,issue_type_2
13320,issue_type_1
2100,issue_type_1
11320,issue_type_2
477,issue_type_2
15076,issue_type_2
7910,issue_type_2
13578,issue_type_2
11316,issue_type_2
1245,issue_type_1
6028,issue_type_2
18323,issue_type_2
18005,issue_type_2
17342,issue_type_2
7269,issue_type_2
17874,issue_type_2
12872,issue_type_2
5589,issue_type_2
18528,issue_type_2
9910,issue_type_2
13005,issue_type_2
1110,issue_type_2
12442,issue_type_2
9611,issue_type_2
11875,issue_type_2
14868,issue_type_2
12353,issue_type_2
4526,issue_type_2
10721,issue_type_2
8079,issue_type_2
5030,issue_type_2
9900,issue_type_2
291,issue_type_1
15017,issue_type_2
582,issue_type_2
15314,issue_type_2
9277,issue_type_2
9821,issue_type_2
9922,issue_type_2
12075,issue_type_2
14408,issue_type_2
6472,issue_type_2
1344,issue_type_2
6103,issue_type_2
11404,issue_type_2
12535,issue_type_2
673,issue_type_2
17948,issue_type_2
8444,issue_type_2
14255,issue_type_2
12537,issue_type_2
8404,issue_type_2
11162,issue_type_5
18081,issue_type_1
11158,issue_type_2
4032,issue_type_1
4776,issue_type_1
3454,issue_type_1
9309,issue_type_1
5880,issue_type_1
8252,issue_type_2
11708,issue_type_1
6129,issue_type_1
17135,issue_type_2
39,issue_type_1
13805,issue_type_1
11781,issue_type_1
5954,issue_type_2
13093,issue_type_1
11195,issue_type_1
6188,issue_type_1
1257,issue_type_1
10829,issue_type_1
14770,issue_type_1
15162,issue_type_1
13291,issue_type_1
10363,issue_type_1
6994,issue_type_2
13301,issue_type_1
414,issue_type_1
4011,issue_type_2
9520,issue_type_2
14578,issue_type_1
17489,issue_type_2
3313,issue_type_1
5726,issue_type_1
6166,issue_type_1
42,issue_type_1
4323,issue_type_1
16335,issue_type_1
6948,issue_type_1
9620,issue_type_1
9250,issue_type_1
526,issue_type_1
18540,issue_type_2
6072,issue_type_2
3794,issue_type_1
11153,issue_type_2
15040,issue_type_1
5705,issue_type_1
15740,issue_type_1
17193,issue_type_1
6572,issue_type_2
4490,issue_type_1
4312,issue_type_1
13931,issue_type_1
10718,issue_type_2
1363,issue_type_1
6617,issue_type_1
18200,issue_type_1
15465,issue_type_1
11911,issue_type_1
1277,issue_type_1
4215,issue_type_1
2809,issue_type_1
3707,issue_type_2
6064,issue_type_1
10038,issue_type_1
1456,issue_type_1
3775,issue_type_1
14953,issue_type_1
15445,issue_type_1
8251,issue_type_1
10506,issue_type_1
7861,issue_type_1
5460,issue_type_1
15522,issue_type_1
16499,issue_type_1
11912,issue_type_2
2645,issue_type_1
13401,issue_type_1
13864,issue_type_2
15435,issue_type_1
3002,issue_type_2
17544,issue_type_1
17674,issue_type_2
5162,issue_type_2
11204,issue_type_2
15509,issue_type_1
12789,issue_type_1
14944,issue_type_1
2863,issue_type_1
16611,issue_type_1
3614,issue_type_1
5477,issue_type_1
